frame_idx,ref_tx,ref_ty,ref_tz,est_tx,est_ty,est_tz,aligned_tx,aligned_ty,aligned_tz,translation_error_before,translation_error_after,rotation_error_before_deg,rotation_error_after_deg,ref_step,est_step,aligned_step,step_error_after
0,0.00168662234,0.00454999306,-0.212309675,3.551678446456208e-06,-4.719722710433416e-05,2.3968277673702687e-05,-0.01020638987936921,0.004434259866309952,-0.210808453329984,0.21239007263278106,0.011987943957356185,1.051147250335833,1.051147250335833,0.0,0.0,0.0,0.0
1,0.00224649626,0.0029078802,-0.20474909,0.0024473280645906925,5.636379501083866e-05,0.01915467344224453,-0.009049862597684876,0.004483270548332413,-0.20175476799030592,0.22392201044743737,0.011792181413502457,1.062271353963814,1.062271353963814,0.007757089595557001,0.01928643689239966,0.00912738602394651,0.0023335043802698444
2,0.00127184246,0.00333181964,-0.191073649,0.004622101318091154,-0.0031215110793709755,0.03812006115913391,-0.008020642161064195,0.002979328121013771,-0.19277931981646104,0.22930901964008937,0.009454302387685652,1.0500795914278236,1.0500795914278236,0.01371668185907665,0.019352376047227556,0.009158592001679197,0.00546096813911577
3,0.00157250725,0.00297070682,-0.18280781,0.006554998457431793,-0.006099494639784098,0.05717262253165245,-0.0071058905958180305,0.0015699850847389527,-0.1837626163495579,0.24020345911587576,0.008842412889878411,1.0822311456254239,1.0822311456254239,0.008279184510483838,0.019380520433955006,0.00917191144909717,0.0014281759700756373
4,0.00390081838,-2.42200773e-05,-0.175220434,0.007815727964043617,-0.008462396450340748,0.0761561468243599,-0.006509245142703752,0.0004517320304315616,-0.17477858496619808,0.2515486329211505,0.010430301219248324,1.0055016439736801,1.0055016439736801,0.008482858857933954,0.01917151372289072,0.009072998158678524,0.0029105355159050636
5,0.00283902006,-0.00115279322,-0.166230745,0.0073954095132648945,-0.00969591736793518,0.09577132016420364,-0.006708162587882876,-0.00013203684540127533,-0.16549562305891433,0.26218090663769644,0.009629695963870583,1.0715384809208004,1.0715384809208004,0.009122258565042951,0.01965841465139865,0.009303426036814017,0.0010617834484841883
6,0.00362722349,-0.000441480069,-0.157638151,0.007295474410057068,-0.009164735674858093,0.11514465510845184,-0.006755457288786402,0.00011934708770244135,-0.15632711217253856,0.27294690062643845,0.010480143608795971,1.049665370367293,1.049665370367293,0.008657938709339855,0.01938087324859078,0.009172078420082726,0.0011141239932030557
7,0.0011912643,-7.07391727e-05,-0.149769392,0.007627235725522041,-0.007619260810315609,0.13365395367145538,-0.006598449874148066,0.0008507494591039003,-0.14756751007705832,0.2835968878156193,0.008147212542707135,0.9464934162789918,0.9464934162789918,0.00824552691994974,0.01857667062263248,0.008791486201336206,0.0027653487905066935
8,0.00413093341,0.0011055774,-0.140050506,0.008338240906596184,-0.005207152105867863,0.1515779346227646,-0.00626196373163788,0.0019922898794545447,-0.13908491196206207,0.29172709742197506,0.010475253785182796,0.9321315983089264,0.9321315983089264,0.010221649584900329,0.018099527339477183,0.008565676169219423,0.0028820441838404197
9,0.00241872779,0.00293106172,-0.130516922,0.008616418577730656,-0.0030980492010712624,0.16897478699684143,-0.006130314998289558,0.00299043155195247,-0.1308517796263332,0.2996164970548979,0.00855580428731661,0.948056634334052,0.948056634334052,0.009856635580804494,0.01752644203496997,0.008294461178701931,0.002403220602408947
10,0.000604306015,0.00248808281,-0.124363099,0.007518317550420761,-0.003193055745214224,0.185306578874588,-0.006649995850977251,0.0029454693120098676,-0.12312269157535731,0.30979894816759235,0.007373785225652465,0.9416904124400761,0.9416904124400761,0.006431010356672423,0.016368942484095858,0.007746669729077733,0.0020775541644876064
11,-0.00140514102,3.34018031e-05,-0.116493963,0.00504253339022398,-0.004951797425746918,0.20146600902080536,-0.007821670944109325,0.0021131375379146583,-0.11547517442667922,0.31806440939552305,0.0068216630780759385,0.9387032157287437,0.9387032157287437,0.008484493951827762,0.016442319245082253,0.007781395584685308,0.001839291650343874
12,-0.00144429498,0.00248339577,-0.110396972,0.0024453620426356792,-0.006406752858310938,0.21721670031547546,-0.009050793025706137,0.0014245738620662072,-0.10802109462995318,0.3277573530257085,0.008038949535203737,0.9053140378215238,0.9053140378215238,0.006570943822961143,0.016029549918181663,0.007586050793603089,0.0036205328626419966
13,-0.00296880495,-0.000550216146,-0.100589401,0.0001512902817921713,-0.008245503529906273,0.23410563170909882,-0.010136471974320275,0.0005543775020503605,-0.10002833799887755,0.3347980247288223,0.007273951428905062,0.9807151606288113,0.9807151606288113,0.01037860206509372,0.017142921947401742,0.008112958711102401,0.0028577072500273904
14,-0.00365130711,-0.00139499267,-0.0927809582,-0.00024394622596446425,-0.009968276135623455,0.2530781328678131,-0.010323519286230593,-0.0002609317586279329,-0.09104952335926934,0.34598211250269834,0.00698586974420779,0.9851966355280533,0.9851966355280533,0.00788360549081307,0.019054657109627778,0.009017695283157622,0.0012712647517535978
15,-0.0031312863,-0.00125760751,-0.0828477212,0.0011388759594410658,-0.01003606803715229,0.2726505696773529,-0.00966909296792773,-0.0002930145563994008,-0.08178678669170117,0.35563229672186375,0.006693200850432885,0.997782361482101,0.997782361482101,0.009947788378488469,0.019621342349640376,0.009285881416683732,0.0007045246093392109
16,-0.00045491903,0.000708953932,-0.0737082312,0.003484954359009862,-0.007892959751188755,0.29114994406700134,-0.008558801662448405,0.0007212203033748303,-0.0730318812523055,0.3649808263190004,0.008132066984236661,1.071854157210553,1.071854157210553,0.009724226608280392,0.018770291681022684,0.008883118167995068,0.0018728120915132956
17,-0.000203767977,0.00217606208,-0.0632980475,0.0057209511287510395,-0.004566413350403309,0.3091163635253906,-0.007500606943559309,0.0022955221454379372,-0.06452919893831693,0.372522558794498,0.007400936662018034,1.0733767430758416,1.0733767430758416,0.010516054765790107,0.018408091173874076,0.008711705280002422,0.0020739748080278505
18,0.000666552629,0.00372308327,-0.05790277,0.007184620480984449,-0.0018283898243680596,0.3264395296573639,-0.0068079193691883925,0.0035913031030195453,-0.0563309389214143,0.3844376508199365,0.007639093572127498,0.9758186076702677,0.9758186076702677,0.005679766880915398,0.017599181391125426,0.008328885379837047,0.0028198202315703057
19,0.0015190136,0.00415694978,-0.0487877909,0.008858398534357548,-0.0015100105665624142,0.34400346875190735,-0.006015796983038029,0.0037419774035252484,-0.04801873210418933,0.3929006931397759,0.007585316343232676,1.0102234752040293,1.0102234752040293,0.009165029942614186,0.0176463836193308,0.008351224029553675,0.0008533943463204714
20,0.00154598724,0.0028049075,-0.0390394014,0.011216343380510807,-0.004218835383653641,0.3619302213191986,-0.004899889832635497,0.0024600148557110757,-0.03953482231046676,0.4011477123149981,0.006474080942507615,0.970859629575734,0.970859629575734,0.009841739874019876,0.01828294542452265,0.008652479536545549,0.00167020845601029
21,0.00233227964,0.00176915508,-0.0301075968,0.013573938980698586,-0.0066201351583004,0.38067713379859924,-0.0037841479643305363,0.001323589806092193,-0.030662768446330757,0.4110241476949968,0.00615771309896935,0.9895485325191536,0.9895485325191536,0.009025972093155105,0.01904655415375838,0.009013860525780312,0.0003496313500776084
22,0.00358036399,0.000857091014,-0.0198196106,0.01480995025485754,-0.008770257234573364,0.4011189043521881,-0.003199200516953953,0.00030603564104647336,-0.02098861598901111,0.42119831767486043,0.006901646943125081,1.0688813302692557,1.0688813302692557,0.010403472278840073,0.02059166657117139,0.009745091367578758,0.0009097640222995344
23,0.00205562056,3.02439004e-05,-0.00965049046,0.01386596355587244,-0.009777329862117767,0.42275455594062805,-0.0036459461263777136,-0.00017056564497801817,-0.010749454394309077,0.4326774744050315,0.005809983552613479,1.0008993853856878,1.0008993853856878,0.010315983864777533,0.021679638507626775,0.010259978586127786,0.0011356307702232939
24,-0.000536410193,2.38710878e-05,0.000139513483,0.01137668825685978,-0.009019579738378525,0.44450482726097107,-0.0048240059567508965,0.0001880427349756084,-0.00045604853744099505,0.44461695649909283,0.0043318730225230225,1.0103920192467395,1.0103920192467395,0.010127331397816195,0.021905364166633648,0.010366804187806288,0.0015446483508676167
25,-0.0017487563,0.000289396764,0.0094022103,0.008643805049359798,-0.0067207389511168,0.464823454618454,-0.00611735423732642,0.001275978645065851,0.009159825893027329,0.455593741298883,0.004485169110167818,0.9830815431967126,0.9830815431967126,0.009345471592784467,0.020630073613132516,0.009763267659030253,0.0008986959283242269
26,-0.00238037856,0.00288900765,0.0179789823,0.006341048050671816,-0.004114620387554169,0.48329952359199524,-0.00720714351067076,0.0025093350336263037,0.017903701947864004,0.4654549604806991,0.0048422596291468585,0.9761941100661932,0.9761941100661932,0.008984316411275887,0.01880052309052613,0.008897425307573278,0.0014506867784030847
27,-0.00262539319,0.00408984227,0.0273122366,0.004619617480784655,-0.0013842785265296698,0.4999814033508301,-0.00802181764734212,0.003801480611471834,0.02579847053645426,0.4727563826909572,0.005612133022750982,1.0193020458002018,1.0193020458002018,0.009413377278212802,0.016991268409781192,0.008041188047216553,0.001549867990021641
28,-0.00489247912,0.00422247791,0.033332394,0.0024776661302894354,-0.00013634911738336086,0.5152497887611389,-0.00903550498262113,0.004392068365522066,0.03302429707869134,0.4819934582413214,0.004157925917314018,0.9941927263580721,0.9941927263580721,0.006434249447121004,0.015468318474735137,0.0073204456918576355,0.0017984343903946908
29,-0.00766827482,0.00325431592,0.0410245346,-0.0011595183750614524,-0.0015583138447254896,0.5309543013572693,-0.010756817592403245,0.003719117677362445,0.04045652261534813,0.4899966343461393,0.0031745511092624887,0.9591124358337673,0.9591124358337673,0.008234768145927827,0.016182793661595862,0.007658574028957527,0.0011254510830962217
30,-0.00917916881,0.00231224452,0.0495132234,-0.005461570806801319,-0.0036953177768737078,0.5480532646179199,-0.012792781698101875,0.002707771728277627,0.04854867769614177,0.4985900962085283,0.0037609823573602724,0.9891350362791518,0.9891350362791518,0.008673415516102147,0.017760883579386922,0.008405411609197838,0.0006616166412797551
31,-0.0108223856,0.00150190081,0.0585462398,-0.008867091499269009,-0.005932032596319914,0.5674654245376587,-0.014404458450324549,0.0016492371893959234,0.0577355626627403,0.5089772324328007,0.003675615776247746,0.9844134058413114,0.9844134058413114,0.009216951970686588,0.01983513088234782,0.009387057723971585,0.0002937158445012279
32,-0.0102548487,0.00176531655,0.0685305428,-0.010207091458141804,-0.0074631767347455025,0.5880529284477234,-0.015038618972817134,0.0009246168933981333,0.06747868403373444,0.5196043461694316,0.004969672101846269,1.0113112114028309,1.0113112114028309,0.010003888862874795,0.02068780605838481,0.009790589777515082,0.0015743127014114663
33,-0.0109714673,0.00087958788,0.0781651305,-0.009540693834424019,-0.006867498159408569,0.6097128391265869,-0.014723243541313255,0.0012065242427767675,0.0777293263433099,0.531606086309202,0.0037911261668766307,0.9964268147659516,0.9964268147659516,0.009701718283052609,0.02167834517149218,0.010259366509453121,0.0016756816036434762
34,-0.0108794588,0.00233943586,0.0889574376,-0.008004223927855492,-0.004281886387616396,0.6301954388618469,-0.01399610280351557,0.002430175707320103,0.08742280137971623,0.5412861377255064,0.0034751707717964146,0.9828798938039361,0.9828798938039361,0.01089098316174865,0.02070224673611766,0.00979742388797569,0.0012909739181661579
